drift_event_id,control_name,control_type,severity,change_type,status,baseline_value,current_value,change_date,change_hour,operator_name,operator_email,approver_name,approver_email,change_reason,compliance_impact,is_regression,is_off_hours,risk_score,score_breakdown,classification
DRF00878,Control-78,Network_Segmentation,High,Rollback,Mitigated,enabled=False,enabled=False,2025-04-20 10:55:00,10,Kenneth Wang,kenneth.wang@company.com,Sophia Huang,sophia.huang@company.com,Performance Tuning,ISO,True,False,65,"{""severity"": 30, ""status"": 5, ""change_type"": 0, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00801,Control-68,Cloud_Security,Info,Rollback,Under_Review,enabled=False,enabled=True,2025-04-20 13:05:00,13,Amara Mishra,amara.mishra@company.com,Larry Reddy,larry.reddy@company.com,Policy Change,PCI,False,False,25,"{""severity"": 0, ""status"": 15, ""change_type"": 0, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00918,Control-94,Network_Segmentation,Medium,Rollback,Under_Review,enabled=False,enabled=True,2025-04-21 02:16:00,2,Stephen Jo,stephen.jo@company.com,Paul Sharma,paul.sharma@company.com,Performance Tuning,ISO,False,True,50,"{""severity"": 15, ""status"": 15, ""change_type"": 0, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00660,Control-63,Endpoint,Critical,Update,Drifted,enabled=False,enabled=True,2025-04-21 02:49:00,2,Sofia Sun,sofia.sun@company.com,James Kim,james.kim@company.com,Policy Change,,False,True,85,"{""severity"": 40, ""status"": 30, ""change_type"": 5, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 0}",CRITICAL_DRIFT
DRF00628,Control-40,Access_Control,Low,Update,Under_Review,enabled=True,enabled=True,2025-04-21 03:11:00,3,Mark Weber,mark.weber@company.com,Paul Williams,paul.williams@company.com,Security Update,GDPR,False,True,45,"{""severity"": 5, ""status"": 15, ""change_type"": 5, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00574,Control-44,DLP,High,Enable,Drifted,enabled=False,enabled=True,2025-04-21 07:26:00,7,Michael Sanchez,michael.sanchez@company.com,Charles Martin,charles.martin@company.com,Emergency Fix,NIST,False,False,65,"{""severity"": 30, ""status"": 30, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00550,Control-66,Logging,High,Modify,Mitigated,enabled=True,enabled=False,2025-04-21 08:39:00,8,Stephen Huang,stephen.huang@company.com,Leila Anderson,leila.anderson@company.com,Performance Tuning,NIST,True,False,75,"{""severity"": 30, ""status"": 5, ""change_type"": 10, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00572,Control-21,Endpoint,Low,Update,Drifted,enabled=True,enabled=False,2025-04-21 11:38:00,11,Richard Lewis,richard.lewis@company.com,Nadia Connor,nadia.connor@company.com,Security Update,PCI,True,False,50,"{""severity"": 5, ""status"": 30, ""change_type"": 5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00684,Control-82,Endpoint,Low,Disable,Under_Review,enabled=True,enabled=False,2025-04-21 20:29:00,20,Meera Wagner,meera.wagner@company.com,Larry Williams,larry.williams@company.com,Troubleshooting,GDPR,True,False,55,"{""severity"": 5, ""status"": 15, ""change_type"": 25, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00949,Control-78,Vulnerability,Low,Update,Drifted,enabled=False,enabled=True,2025-04-23 00:21:00,0,Amara Guo,amara.guo@company.com,Ronald Choi,ronald.choi@company.com,Emergency Fix,,False,True,50,"{""severity"": 5, ""status"": 30, ""change_type"": 5, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 0}",MEDIUM_DRIFT
DRF00635,Control-67,DLP,Low,Disable,Mitigated,enabled=False,enabled=False,2025-04-23 02:01:00,2,Riya Xu,riya.xu@company.com,Stephen Lopez,stephen.lopez@company.com,Troubleshooting,CIS,True,True,55,"{""severity"": 5, ""status"": 5, ""change_type"": 25, ""regression"": 0, ""off_hours"": 10, ""compliance_impact"": 10}",MEDIUM_DRIFT
DRF00847,Control-9,Endpoint,Critical,Remove,Compliant,enabled=True,enabled=True,2025-04-24 09:55:00,9,Timothy Quinn,timothy.quinn@company.com,Brian Rodriguez,brian.rodriguez@company.com,Troubleshooting,PCI,False,False,60,"{""severity"": 40, ""status"": -10, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",HIGH_DRIFT
DRF00581,Control-1,Access_Control,Info,Remove,Mitigated,enabled=False,enabled=False,2025-04-24 11:25:00,11,Anthony Anderson,anthony.anderson@company.com,Elena Davis,elena.davis@company.com,Troubleshooting,NIST,True,False,35,"{""severity"": 0, ""status"": 5, ""change_type"": 20, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 10}",BENIGN
DRF00560,Control-48,Data_Protection,Critical,Remove,Mitigated,enabled=True,enabled=False,2025-04-24 19:48:00,19,Larry Sullivan,larry.sullivan@company.com,Larry Lopez,larry.lopez@company.com,Emergency Fix,PCI,True,False,95,"{""severity"": 40, ""status"": 5, ""change_type"": 20, ""regression"": 20, ""off_hours"": 0, ""compliance_impact"": 10}",CRITICAL_DRIFT
DRF00638,Control-55,Network_Segmentation,Info,Enable,Mitigated,enabled=False,enabled=True,2025-04-25 11:19:00,11,Vikram White,vikram.white@company.com,Sofia Miller,sofia.miller@company.com,Performance Tuning,,False,False,0,"{""severity"": 0, ""status"": 5, ""change_type"": -5, ""regression"": 0, ""off_hours"": 0, ""compliance_impact"": 0}",BENIGN
DRF00895,Control-65,Logging,Critical,Rollback,Compliant,enabled=True,enabled=False,2025-04-26 02:00:00,2,Robert Clark,robert.clark@company.com,Amara Anderson,amara.anderson@company.com,Performance Tuning,,True,True,60,"{""severity"": 40, ""status"": -10, ""change_type"": 0, ""regression"": 20, ""off_hours"": 10, ""compliance_impact"": 0}",HIGH_DRIFT
